labels,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57
anomaly,0.0,0.04831932773109244,0.06666666666666668,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.07135470527404343,0.0,0.0,0.0,0.017,0.0,0.18075422626788035,0.11146666666666666,0.0,0.09710550887021475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010612090202766723,0.0,0.024200997598374283,0.0,0.0,0.0024766227871084886,0.02723558783477077,0.044060328757837657
anomaly,0.03225806451612904,0.0,0.11176470588235293,0.0,0.028000000000000004,0.02380952380952381,0.038514442916093544,0.04761904761904762,0.0,0.023652365236523653,0.07,0.02895553257497415,0.0,0.0,0.0,0.094,0.027343750000000003,0.018205461638491547,0.05386666666666667,0.0,0.13445378151260504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013265112753458406,0.0,0.006465915388878625,0.0,0.0,0.0011738538356786201,0.01407172038129823,0.08066429418742586
anomaly,0.0,0.0,0.06470588235294118,0.0,0.099,0.1683673469387755,0.0453920220082531,0.056122448979591844,0.0,0.0,0.0,0.03412616339193382,0.05945945945945946,0.0,0.0,0.0165,0.064453125,0.0,0.1056,0.0,0.30812324929971985,0.0,0.0,0.033846153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015406162464985993,0.0,0.0,0.0,0.0,0.02046617396247868,0.0,0.0,0.026986506746626688,0.0027232840788743756,0.0010848842487517021,0.02224239673172946,0.0340620233858668
anomaly,0.0391705069124424,0.0,0.01568627450980392,0.0,0.041999999999999996,0.01360544217687075,0.011004126547455296,0.07142857142857142,0.015209125475285173,0.0044004400440044,0.0,0.06204756980351603,0.030630630630630633,0.017,0.0,0.0,0.033203125,0.010403120936280884,0.064,0.0,0.295985060690943,0.0,0.08478802992518704,0.008205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015349630471859011,0.006616025483950011,0.003325327914280436,0.002165583874729302,0.0,0.0027871084884248756,0.021334543803903767,0.0971021860701576
anomaly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10616417267073094,0.0,0.0,0.0015124829777576033,0.004539264639128461,0.003897644467039485
anomaly,0.1336405529953917,0.0,0.11372549019607843,0.023255813953488372,0.057999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.12099276111685625,0.0,0.0,0.0,0.0,0.0,0.0,0.2192,0.0,0.054154995331465915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018571157854841765,0.0,0.0060656444362337586,0.0,0.0,0.002548343168406718,0.02723558783477077,0.05016098966276902
anomaly,0.020737327188940093,0.0,0.05294117647058824,0.0,0.036,0.015306122448979591,0.0,0.030612244897959183,0.017110266159695818,0.0,0.0,0.07549120992761117,0.0,0.036,0.0,0.0,0.0,0.0,0.10719999999999999,0.0,0.31559290382819793,0.0,0.08977556109725686,0.00923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012605042016806723,0.0,0.0,0.0,0.003648802736602053,0.009096077316657191,0.0078412153883852,0.007913048833056222,0.005330667999333667,0.0016137979726662968,0.0024412165229232867,0.030866999546073536,0.09049313675648195
anomaly,0.0,0.0,0.0,0.0,0.038,0.06462585034013606,0.052269601100412656,0.06462585034013606,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.18666666666666668,0.0,0.18113912231559287,0.0,0.0,0.038974358974358976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037563889402056775,0.0,0.0,0.0009804811620517477,0.004993191103041307,0.0174546687002203
anomaly,0.0,0.0,0.10980392156862746,0.0,0.0,0.0,0.0,0.0,0.0,0.06160616061606161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09013333333333333,0.0,0.05228758169934641,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0934242941064999,0.04827248223474638,0.012131288872467517,0.0,0.01986988753845378,0.0023032228778937813,0.009532455742169769,0.03999322148788341
anomaly,0.0,0.023109243697478993,0.06470588235294118,0.0,0.16499999999999998,0.056122448979591844,0.0907840440165062,0.0,0.0,0.0088008800880088,0.08,0.10237849017580145,0.0,0.0,0.0,0.040999999999999995,0.064453125,0.02080624187256177,0.14986666666666668,0.0,0.09243697478991596,0.0,0.12219451371571073,0.033846153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088008800880088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045480386583285955,0.01813281058564077,0.007635938173532852,0.008162585373979677,0.002471128145645267,0.004685428960508397,0.1584203359055833,0.12302999491611591
