labels,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10
nominal,0.012903225806451613,0.010869565217391304,0.00018751953328471714,0.0033681121380369065,0.3650793650793651,0.6234906695938529,0.0032360097323600977,0.00024923449405397707,0.0003737095342644929,0.0015571473061351605
nominal,0.016129032258064516,0.010869565217391304,0.00023613570858075495,0.0028039351947136866,0.39576719576719577,0.8693743139407245,0.006326034063260341,0.00039165420494196397,0.0007007053767459242,0.0012457178449081284
nominal,0.016129032258064516,0.030797101449275364,0.0006945167899433969,0.00724228857287447,0.2455026455026455,0.7156970362239298,0.008345498783454986,0.0008545182653279214,0.001705049750081749,0.0018685767673621925
nominal,0.012903225806451613,0.010869565217391304,0.00018751953328471714,0.0033681121380369065,0.3343915343915344,0.7178924259055982,0.008102189781021897,0.00021362956633198035,0.00044378007193908534,0.0006228589224540642
nominal,0.016129032258064516,0.0036231884057971015,6.945167899433969e-05,0.001188887893440777,0.47089947089947093,0.938529088913282,0.0030413625304136255,7.120985544399345e-05,0.00023356845891530807,0.0009342883836810962
nominal,0.012903225806451613,0.012681159420289856,0.000222245372781887,0.003852384192391602,0.5238095238095238,1.0,0.0035036496350364962,0.0005340739158299509,0.0007707759144205166,0.002491435689816257
nominal,0.016129032258064516,0.005434782608695652,0.0001111226863909435,0.0015932550588269479,0.38306878306878306,0.6794731064763996,0.0036496350364963502,0.00010681478316599017,0.00023356845891530807,0.0009342883836810962
nominal,0.012903225806451613,0.009057971014492754,0.00015279369378754732,0.0028838400836822113,0.2941798941798942,0.26783754116355657,0.021897810218978103,0.00010681478316599017,7.007053767459243e-05,0.0
nominal,0.012903225806451613,0.007246376811594203,0.00011806785429037747,0.0023995680293275156,0.3650793650793651,0.47310647639956094,0.021897810218978103,0.00010681478316599017,0.00014014107534918486,0.0
nominal,0.012903225806451613,0.010869565217391304,0.00018751953328471714,0.0033681121380369065,0.4560846560846561,0.9055982436882547,0.01824817518248175,0.00035604927721996724,0.0005839211472882702,0.0003114294612270321
nominal,0.012903225806451613,0.0018115942028985507,1.3890335798867937e-05,0.0009467518662634295,0.7883597883597884,1.0,0.0170316301703163,3.5604927721996724e-05,7.007053767459243e-05,0.0
nominal,0.012903225806451613,0.0036231884057971015,4.861617529603778e-05,0.0014310239206181247,0.5058201058201058,0.7069154774972558,0.0170316301703163,3.5604927721996724e-05,9.342738356612322e-05,0.0
nominal,0.012903225806451613,0.009057971014492754,0.00015279369378754732,0.0028838400836822113,0.4,0.7069154774972558,0.029197080291970802,0.00021362956633198035,0.0003503526883729621,0.0
nominal,0.012903225806451613,0.010869565217391304,0.00018751953328471714,0.0033681121380369065,0.39576719576719577,0.8430296377607025,0.009732360097323601,0.0002848394217759738,0.0005372074555052086,0.0006228589224540642
nominal,0.016129032258064516,0.010869565217391304,0.00023613570858075495,0.0028039351947136866,0.3703703703703704,0.8693743139407245,0.007907542579075427,0.00035604927721996724,0.0007007053767459242,0.0009342883836810962
nominal,0.012903225806451613,0.012681159420289856,0.000222245372781887,0.003852384192391602,0.33862433862433866,0.42371020856201974,0.0340632603406326,0.0002848394217759738,0.0002802821506983697,0.0
nominal,0.016129032258064516,0.010869565217391304,0.00023613570858075495,0.0028039351947136866,0.3703703703703704,0.9473106476399561,0.007907542579075427,0.00035604927721996724,0.0007707759144205166,0.0009342883836810962
nominal,0.012903225806451613,0.03260869565217391,0.0006042296072507553,0.00917937679029325,0.18730158730158733,0.3413830954994512,0.010948905109489052,0.0005340739158299509,0.0007240622226374551,0.0009342883836810962
nominal,0.012903225806451613,0.007246376811594203,0.00011806785429037747,0.0023995680293275156,0.3650793650793651,0.5170142700329309,0.009732360097323601,0.00010681478316599017,0.00016349792124071565,0.0003114294612270321
nominal,0.00967741935483871,0.009057971014492754,0.0001111226863909435,0.0036102481652142545,0.38306878306878306,0.45115257958287597,0.021897810218978103,0.00010681478316599017,0.00011678422945765403,0.0
nominal,0.00967741935483871,0.009057971014492754,0.0001111226863909435,0.0036102481652142545,0.4264550264550265,0.7716794731064764,0.010948905109489052,0.0001424197108879869,0.0002802821506983697,0.0003114294612270321
nominal,0.00967741935483871,0.030797101449275364,0.000444490745563774,0.010874328980534684,0.20634920634920637,0.48188803512623496,0.003819951338199513,0.00039165420494196397,0.0007240622226374551,0.0018685767673621925
nominal,0.016129032258064516,0.010869565217391304,0.00023613570858075495,0.0028039351947136866,0.31957671957671957,0.5038419319429199,0.015815085158150853,0.0002848394217759738,0.0003737095342644929,0.0003114294612270321
nominal,0.012903225806451613,0.010869565217391304,0.00018751953328471714,0.0033681121380369065,0.39576719576719577,0.8748627881448957,0.0036496350364963502,0.0002848394217759738,0.0005605643013967394,0.0015571473061351605
nominal,0.012903225806451613,0.005434782608695652,8.334201479320762e-05,0.0019152959749728204,0.47089947089947093,0.7804610318331504,0.021897810218978103,0.00010681478316599017,0.00021021161302377727,0.0
nominal,0.03870967741935484,0.043478260869565216,0.0022016182241205683,0.0046344835601744355,0.18941798941798946,0.21624588364434685,0.023990267639902675,0.002456740012817774,0.0020086887466716496,0.0018685767673621925
nominal,0.03870967741935484,0.043478260869565216,0.0022016182241205683,0.0046344835601744355,0.31322751322751324,0.6487376509330407,0.012165450121654502,0.0038097272662536495,0.004998365020787593,0.005605730302086578
nominal,0.01935483870967742,0.02717391304347826,0.0007222974615411328,0.005513437338828207,0.2814814814814815,0.6081229418221734,0.003819951338199513,0.001032542903937905,0.0015181949829495024,0.004048582995951417
